id,quote_zh,quote_en,author_zh,author_en,author_title_zh,author_title_en,category,period_zh,period_en,likes,views,book,book_en
1,道可道，非常道。名可名，非常名。,The way that can be spoken of is not the constant way,老子,Laozi,中国古代哲学家,Ancient Chinese Philosopher,philosophy,春秋时期,Spring and Autumn Period,986,1500,《道德经》,Tao Te Ching
2,千里之行，始于足下,The journey of a thousand miles begins with a single step,老子,Laozi,中国古代哲学家,Ancient Chinese Philosopher,wisdom,春秋时期,Spring and Autumn Period,756,1200,《道德经》,Tao Te Ching
3,生活中最重要的不是所处的位置，而是所朝的方向。,The most important thing in life is not where we stand but in what direction we are moving.,奥利弗·霍姆斯,Oliver Wendell Holmes,美国作家、法学家,American Writer & Jurist,life,近代,Modern Era,1234,1800,《霍姆斯法律文集》,The Common Law
4,不要等待机会，而要创造机会。,Don't wait for opportunities create them.,孙中山,Sun Yat-sen,中国革命先行者,Chinese Revolutionary Pioneer,motivation,近代,Modern Era,856,1600,《建国方略》,The Fundamentals of National Reconstruction
5,教育不是灌输，而是点燃火焰。,Education is not the filling of a pail but the lighting of a fire.,苏格拉底,Socrates,古希腊哲学家,Ancient Greek Philosopher,education,古希腊,Ancient Greece,967,1700,《柏拉图对话录》,Plato's Dialogues
6,困难之中蕴藏着机遇。,In the middle of difficulty lies opportunity.,阿尔伯特·爱因斯坦,Albert Einstein,理论物理学家,Theoretical Physicist,motivation,现代,Modern Era,1876,2200,《爱因斯坦文集》,The Einstein Reader
7,生活本来很简单，是我们执意要把它变复杂。,Life is really simple but we insist on making it complicated.,孔子,Confucius,中国哲学家,Chinese Philosopher,life,春秋时期,Spring and Autumn Period,1543,1900,《论语》,The Analects
8,知之为知之，不知为不知，是知也。,To know what you know and what you do not know that is true knowledge.,孔子,Confucius,中国哲学家,Chinese Philosopher,wisdom,春秋时期,Spring and Autumn Period,1432,1800,《论语》,The Analects
9,学而不思则罔，思而不学则殆。,Learning without thought is labor lost; thought without learning is perilous.,孔子,Confucius,中国哲学家,Chinese Philosopher,education,春秋时期,Spring and Autumn Period,1654,2100,《论语》,The Analects
10,三人行，必有我师焉。,Among any three people walking I will find something to learn from.,孔子,Confucius,中国哲学家,Chinese Philosopher,wisdom,春秋时期,Spring and Autumn Period,1234,1600,《论语》,The Analects
11,想象力比知识更重要。因为知识是有限的，而想象力概括着世界的一切。,Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.,阿尔伯特·爱因斯坦,Albert Einstein,理论物理学家,Theoretical Physicist,science,现代,Modern Era,2134,2800,《爱因斯坦文集》,The Einstein Reader
12,生命不可能没有错误，重要的是哪种错误让你成长。,Life cannot be without mistakes what matters is which mistakes help you grow.,约翰·列侬,John Lennon,音乐家,Musician,life,现代,Modern Era,1876,2300,《约翰·列侬传》,John Lennon: The Life
13,人生如同故事。重要的不是有多长，而是有多好。,Life is like a story. What matters is not how long it is but how good it is.,塞涅卡,Seneca,罗马哲学家,Roman Philosopher,life,古罗马,Ancient Rome,1543,1900,《塞涅卡书信集》,Letters from a Stoic
14,真正的发现之旅不在于寻找新大陆，而在于以新的眼光看世界。,The real voyage of discovery consists not in seeking new landscapes but in having new eyes.,马塞尔·普鲁斯特,Marcel Proust,法国作家,French Writer,wisdom,现代,Modern Era,1765,2100,《追忆似水年华》,In Search of Lost Time
15,最大的敌人是内心的恐惧。,The greatest enemy is fear within.,威廉·莎士比亚,William Shakespeare,英国剧作家,English Playwright,motivation,文艺复兴,Renaissance,1987,2500,《麦克白》,Macbeth
